App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Photo Editor & Candy Camera & Grid & ScrapBook,ART_AND_DESIGN,4.1,159,19M,"10,000+",Free,0,Everyone,Art & Design,"January 7, 2018",1.0.0,4.0.3 and up
Coloring book moana,ART_AND_DESIGN,3.9,967,14M,"500,000+",Free,0,Everyone,Art & Design;Pretend Play,"January 15, 2018",2.0.0,4.0.3 and up
"U Launcher Lite – FREE Live Cool Themes, Hide ...",ART_AND_DESIGN,4.7,87510,8.7M,"5,000,000+",Free,0,Everyone,Art & Design,"August 1, 2018",1.2.4,4.0.3 and up
Sketch - Draw & Paint,ART_AND_DESIGN,4.5,215644,25M,"50,000,000+",Free,0,Teen,Art & Design,"June 8, 2018",Varies with device,4.2 and up
Pixel Draw - Number Art Coloring Book,ART_AND_DESIGN,4.3,967,2.8M,"100,000+",Free,0,Everyone,Art & Design;Creativity,"June 20, 2018",1.1,4.4 and up
App_0,TOOLS,4.6,18147,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_1,BUSINESS,4.2,26205,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_2,FAMILY,4.2,75866,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_3,TOOLS,4.6,15807,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_4,TOOLS,,22076,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_5,BUSINESS,4.2,44362,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_6,FAMILY,4.2,23876,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_7,FAMILY,4.6,30180,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_8,TOOLS,4.2,66942,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_9,GAME,4.2,61473,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_10,TOOLS,4.6,6876,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_11,TOOLS,4.6,92887,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_12,TOOLS,4.0,55116,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_13,TOOLS,,9574,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_14,BUSINESS,,58153,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_15,FAMILY,4.2,22059,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_16,BUSINESS,,5630,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_17,BUSINESS,4.2,94956,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_18,BUSINESS,4.0,3848,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_19,TOOLS,4.6,97604,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_20,GAME,4.6,98198,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_21,FAMILY,4.6,13645,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_22,GAME,,66299,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_23,BUSINESS,4.0,34866,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_24,BUSINESS,,73630,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_25,GAME,,93657,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_26,GAME,4.0,61187,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_27,GAME,4.0,95939,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_28,BUSINESS,4.0,68940,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_29,BUSINESS,4.0,54484,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_30,FAMILY,4.6,51105,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_31,FAMILY,4.4,46676,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_32,BUSINESS,4.4,39453,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_33,GAME,4.0,62103,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_34,GAME,4.4,83311,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_35,FAMILY,4.4,52833,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_36,BUSINESS,4.0,65418,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_37,FAMILY,4.4,89574,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_38,FAMILY,,23764,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_39,TOOLS,4.2,67272,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_40,TOOLS,4.2,85716,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_41,TOOLS,4.0,93364,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_42,GAME,4.6,26836,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_43,BUSINESS,4.0,94309,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_44,BUSINESS,4.6,954,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_45,BUSINESS,4.2,90184,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_46,BUSINESS,4.0,38723,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_47,TOOLS,,7492,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_48,GAME,4.4,55780,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_49,GAME,4.6,46817,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_50,TOOLS,4.4,87192,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_51,GAME,4.4,50959,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_52,TOOLS,4.0,26409,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_53,BUSINESS,4.4,87555,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_54,TOOLS,,63834,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_55,BUSINESS,4.4,70567,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_56,BUSINESS,4.0,52762,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_57,FAMILY,,98606,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_58,TOOLS,4.2,12788,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_59,FAMILY,4.4,25442,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_60,TOOLS,4.0,37257,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_61,TOOLS,4.2,67963,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_62,FAMILY,4.2,52183,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_63,FAMILY,4.6,65833,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_64,TOOLS,,89145,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_65,GAME,4.4,34798,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_66,BUSINESS,4.0,80723,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_67,FAMILY,4.6,22771,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_68,BUSINESS,,25284,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_69,GAME,4.6,93484,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_70,GAME,,42207,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_71,GAME,,86302,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_72,FAMILY,4.4,51763,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_73,GAME,,15808,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_74,FAMILY,4.6,92006,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_75,GAME,,49911,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_76,BUSINESS,4.4,2911,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_77,BUSINESS,4.4,56350,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_78,TOOLS,4.6,72182,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_79,BUSINESS,4.2,34854,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_80,TOOLS,4.2,95842,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_81,BUSINESS,,11511,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_82,FAMILY,4.0,3011,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_83,BUSINESS,,67370,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_84,TOOLS,4.6,83863,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_85,TOOLS,4.6,8780,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_86,GAME,4.6,84996,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_87,FAMILY,4.6,83979,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_88,BUSINESS,4.6,71395,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
App_89,GAME,4.4,88714,10M,"100,000+",Free,0,Everyone,Tools,"January 1, 2018",1.0,4.0 and up
Sya9a Maroc - FR,FAMILY,4.5,38,53M,"5,000+",Free,0,Everyone,Education,"July 25, 2017",1.48,4.1 and up
Fr. Mike Schmitz Audio Teachings,FAMILY,5.0,4,3.6M,100+,Free,0,Everyone,Education,"July 6, 2018",1.0,4.1 and up
Parkinson Exercices FR,MEDICAL,,3,9.5M,"1,000+",Free,0,Everyone,Medical,"January 20, 2017",1.0,2.2 and up
The SCP Foundation DB fr nn5n,BOOKS_AND_REFERENCE,4.5,114,Varies with device,"1,000+",Free,0,Mature 17+,Books & Reference,"January 19, 2015",Varies with device,Varies with device
iHoroscope - 2018 Daily Horoscope & Astrology,LIFESTYLE,4.5,398307,19M,"10,000,000+",Free,0,Everyone,Lifestyle,"July 25, 2018",Varies with device,Varies with device
